Peres Petroni,Luan,Marseille
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.00,2
TOTAL_SHOTS,0.14,4
ASSISTS,0.05,28
XA,0.05,25
NON_PEN_XG+XA,0.05,9
SHOT_CREATIONS,1.12,17
PASSES_ATTEMPTED,71.62,92
PASS_COMPLETION_PERCENTAGE,88.6,98
PROGRESSIVE_PASSES,2.80,19
PROGRESSIVE CARRIES,6.35,84
DRIBBLES_COMPLETED,0.51,23
TOUCHES_IN_AREA,0.42,5
PROGRESSIVE_PASSES_RECIEVED,0.56,1
PRESSURES,11.20,26
TACKLES,2.89,86
INTERCEPTIONS,1.87,71
BLOCKS,2.33,85
CLEARANCES,2.24,43
AERIAL_DUELS_WON,1.26,56
