"b'Radonjic, Nemanja'",Marseille
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.29,69
NON_PEN_XG,0.36,91
TOTAL_SHOTS,2.75,83
ASSISTS,0.20,53
XA,0.12,20
NON_PEN_XG+XA,0.47,72
SHOT_CREATIONS,2.94,37
PASSES_ATTEMPTED,36.08,39
PASS_COMPLETION_PERCENTAGE,64.1,5
PROGRESSIVE_PASSES,4.12,75
PROGRESSIVE CARRIES,8.53,87
DRIBBLES_COMPLETED,3.04,93
TOUCHES_IN_AREA,5.10,75
PROGRESSIVE_PASSES_RECIEVED,7.16,67
PRESSURES,15.69,49
TACKLES,1.08,29
INTERCEPTIONS,0.49,10
BLOCKS,0.49,5
CLEARANCES,0.20,13
AERIAL_DUELS_WON,0.59,44
