Milik,Arkadiusz,Marseille
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.43,67
NON_PEN_XG,0.45,76
TOTAL_SHOTS,3.32,86
ASSISTS,0.04,16
XA,0.11,45
NON_PEN_XG+XA,0.56,67
SHOT_CREATIONS,1.83,25
PASSES_ATTEMPTED,23.46,54
PASS_COMPLETION_PERCENTAGE,77.9,84
PROGRESSIVE_PASSES,1.36,43
PROGRESSIVE CARRIES,2.17,34
DRIBBLES_COMPLETED,0.34,6
TOUCHES_IN_AREA,5.49,64
PROGRESSIVE_PASSES_RECIEVED,8.34,66
PRESSURES,13.79,39
TACKLES,0.85,67
INTERCEPTIONS,0.34,40
BLOCKS,0.38,5
CLEARANCES,0.72,59
AERIAL_DUELS_WON,1.87,55
