Gueye,Pape,Marseille
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,34
NON_PEN_XG,0.07,52
TOTAL_SHOTS,1.07,63
ASSISTS,0.03,27
XA,0.06,42
NON_PEN_XG+XA,0.12,45
SHOT_CREATIONS,1.59,37
PASSES_ATTEMPTED,64.12,82
PASS_COMPLETION_PERCENTAGE,86.7,72
PROGRESSIVE_PASSES,4.44,65
PROGRESSIVE CARRIES,4.20,58
DRIBBLES_COMPLETED,0.55,28
TOUCHES_IN_AREA,0.72,27
PROGRESSIVE_PASSES_RECIEVED,1.93,58
PRESSURES,15.99,28
TACKLES,2.48,63
INTERCEPTIONS,2.24,89
BLOCKS,1.59,54
CLEARANCES,1.72,66
AERIAL_DUELS_WON,1.52,66
