Teuchert,Cedric,Union Berlin
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,5
NON_PEN_XG,0.25,22
TOTAL_SHOTS,2.47,53
ASSISTS,0.14,54
XA,0.06,10
NON_PEN_XG+XA,0.30,9
SHOT_CREATIONS,1.79,24
PASSES_ATTEMPTED,23.91,55
PASS_COMPLETION_PERCENTAGE,72.4,47
PROGRESSIVE_PASSES,1.79,67
PROGRESSIVE CARRIES,3.02,54
DRIBBLES_COMPLETED,1.10,60
TOUCHES_IN_AREA,4.40,24
PROGRESSIVE_PASSES_RECIEVED,6.46,30
PRESSURES,22.67,97
TACKLES,1.79,99
INTERCEPTIONS,1.10,99
BLOCKS,1.65,97
CLEARANCES,0.27,17
AERIAL_DUELS_WON,1.65,48
