Khedira,Rani,Union Berlin
CB,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,37
NON_PEN_XG,0.04,27
TOTAL_SHOTS,0.42,11
ASSISTS,0.00,11
XA,0.02,7
NON_PEN_XG+XA,0.05,11
SHOT_CREATIONS,0.81,5
PASSES_ATTEMPTED,30.44,3
PASS_COMPLETION_PERCENTAGE,72.6,3
PROGRESSIVE_PASSES,2.34,10
PROGRESSIVE CARRIES,1.34,3
DRIBBLES_COMPLETED,0.23,2
TOUCHES_IN_AREA,0.92,41
PROGRESSIVE_PASSES_RECIEVED,0.92,15
PRESSURES,20.49,73
TACKLES,1.77,26
INTERCEPTIONS,1.23,25
BLOCKS,1.84,75
CLEARANCES,2.53,92
AERIAL_DUELS_WON,2.00,82
