"b'Oztunal, Levin'",Union Berlin
RAM,AM,RW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,87
NON_PEN_XG,0.06,45
TOTAL_SHOTS,0.73,36
ASSISTS,0.00,11
XA,0.09,67
NON_PEN_XG+XA,0.15,57
SHOT_CREATIONS,2.19,65
PASSES_ATTEMPTED,28.88,3
PASS_COMPLETION_PERCENTAGE,68.2,1
PROGRESSIVE_PASSES,2.63,14
PROGRESSIVE CARRIES,3.35,40
DRIBBLES_COMPLETED,1.46,90
TOUCHES_IN_AREA,1.90,80
PROGRESSIVE_PASSES_RECIEVED,3.35,87
PRESSURES,23.05,88
TACKLES,3.06,88
INTERCEPTIONS,1.60,51
BLOCKS,1.17,17
CLEARANCES,3.21,98
AERIAL_DUELS_WON,1.60,68
