Ryerson,Julian,Union Berlin
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,86
NON_PEN_XG,0.09,89
TOTAL_SHOTS,0.99,84
ASSISTS,0.12,68
XA,0.10,71
NON_PEN_XG+XA,0.20,82
SHOT_CREATIONS,1.86,61
PASSES_ATTEMPTED,45.29,20
PASS_COMPLETION_PERCENTAGE,73.5,22
PROGRESSIVE_PASSES,2.33,6
PROGRESSIVE CARRIES,3.38,20
DRIBBLES_COMPLETED,1.05,68
TOUCHES_IN_AREA,1.40,52
PROGRESSIVE_PASSES_RECIEVED,1.92,42
PRESSURES,16.36,86
TACKLES,1.80,36
INTERCEPTIONS,1.16,16
BLOCKS,1.86,51
CLEARANCES,1.28,7
AERIAL_DUELS_WON,1.46,68
