Möhwald,Kevin,Union Berlin
AM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.21,95
NON_PEN_XG,0.08,69
TOTAL_SHOTS,1.40,81
ASSISTS,0.07,54
XA,0.08,58
NON_PEN_XG+XA,0.16,63
SHOT_CREATIONS,1.81,50
PASSES_ATTEMPTED,57.07,68
PASS_COMPLETION_PERCENTAGE,84.2,53
PROGRESSIVE_PASSES,3.14,30
PROGRESSIVE CARRIES,3.21,35
DRIBBLES_COMPLETED,0.98,65
TOUCHES_IN_AREA,1.05,48
PROGRESSIVE_PASSES_RECIEVED,1.40,38
PRESSURES,12.98,8
TACKLES,1.05,3
INTERCEPTIONS,2.58,96
BLOCKS,0.98,7
CLEARANCES,1.60,56
AERIAL_DUELS_WON,1.53,66
