Friedrich,Marvin,Union Berlin
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,66
NON_PEN_XG,0.06,70
TOTAL_SHOTS,0.76,83
ASSISTS,0.06,87
XA,0.04,93
NON_PEN_XG+XA,0.10,88
SHOT_CREATIONS,0.88,85
PASSES_ATTEMPTED,51.99,49
PASS_COMPLETION_PERCENTAGE,78.7,7
PROGRESSIVE_PASSES,3.18,69
PROGRESSIVE CARRIES,2.36,44
DRIBBLES_COMPLETED,0.21,52
TOUCHES_IN_AREA,1.24,86
PROGRESSIVE_PASSES_RECIEVED,0.42,89
PRESSURES,12.58,90
TACKLES,1.82,72
INTERCEPTIONS,1.73,51
BLOCKS,1.91,75
CLEARANCES,4.24,28
AERIAL_DUELS_WON,3.15,72
