Haraguchi,Genki,Union Berlin
AM,WM,FW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.11,81
TOTAL_SHOTS,1.25,75
ASSISTS,0.36,99
XA,0.17,92
NON_PEN_XG+XA,0.28,91
SHOT_CREATIONS,2.31,71
PASSES_ATTEMPTED,30.06,3
PASS_COMPLETION_PERCENTAGE,74.3,6
PROGRESSIVE_PASSES,3.02,24
PROGRESSIVE CARRIES,3.56,45
DRIBBLES_COMPLETED,0.44,17
TOUCHES_IN_AREA,2.05,85
PROGRESSIVE_PASSES_RECIEVED,3.38,87
PRESSURES,17.79,46
TACKLES,2.22,50
INTERCEPTIONS,0.89,9
BLOCKS,1.60,56
CLEARANCES,1.51,50
AERIAL_DUELS_WON,0.71,26
