Gieﬂelmann,Niko,Union Berlin
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,95
NON_PEN_XG,0.10,93
TOTAL_SHOTS,1.10,90
ASSISTS,0.16,84
XA,0.09,57
NON_PEN_XG+XA,0.19,82
SHOT_CREATIONS,2.47,85
PASSES_ATTEMPTED,50.90,42
PASS_COMPLETION_PERCENTAGE,68.2,4
PROGRESSIVE_PASSES,4.83,84
PROGRESSIVE CARRIES,3.46,24
DRIBBLES_COMPLETED,0.33,8
TOUCHES_IN_AREA,1.21,44
PROGRESSIVE_PASSES_RECIEVED,1.76,35
PRESSURES,13.01,54
TACKLES,1.87,41
INTERCEPTIONS,0.66,1
BLOCKS,2.09,71
CLEARANCES,1.98,32
AERIAL_DUELS_WON,1.43,66
