Awoniyi,Taiwo,Union Berlin
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.52,80
NON_PEN_XG,0.54,88
TOTAL_SHOTS,2.61,61
ASSISTS,0.10,36
XA,0.09,27
NON_PEN_XG+XA,0.63,82
SHOT_CREATIONS,2.23,50
PASSES_ATTEMPTED,18.73,18
PASS_COMPLETION_PERCENTAGE,66.8,16
PROGRESSIVE_PASSES,1.09,25
PROGRESSIVE CARRIES,2.14,32
DRIBBLES_COMPLETED,1.19,64
TOUCHES_IN_AREA,5.47,64
PROGRESSIVE_PASSES_RECIEVED,8.13,61
PRESSURES,13.84,41
TACKLES,0.57,39
INTERCEPTIONS,0.24,18
BLOCKS,0.62,31
CLEARANCES,0.81,68
AERIAL_DUELS_WON,2.42,64
