Voglsammer,Andreas,Union Berlin
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.22,54
NON_PEN_XG,0.33,87
TOTAL_SHOTS,3.21,95
ASSISTS,0.22,64
XA,0.15,41
NON_PEN_XG+XA,0.48,74
SHOT_CREATIONS,2.41,16
PASSES_ATTEMPTED,25.33,5
PASS_COMPLETION_PERCENTAGE,59.7,1
PROGRESSIVE_PASSES,2.34,22
PROGRESSIVE CARRIES,2.85,1
DRIBBLES_COMPLETED,0.88,13
TOUCHES_IN_AREA,5.62,82
PROGRESSIVE_PASSES_RECIEVED,5.99,43
PRESSURES,17.74,64
TACKLES,1.17,33
INTERCEPTIONS,0.37,2
BLOCKS,1.31,62
CLEARANCES,0.88,83
AERIAL_DUELS_WON,4.16,99
