Jaeckel,Paul,Union Berlin
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.12,3
ASSISTS,0.00,28
XA,0.01,45
NON_PEN_XG+XA,0.01,1
SHOT_CREATIONS,0.58,55
PASSES_ATTEMPTED,52.03,49
PASS_COMPLETION_PERCENTAGE,82.1,18
PROGRESSIVE_PASSES,2.09,28
PROGRESSIVE CARRIES,2.32,42
DRIBBLES_COMPLETED,0.35,77
TOUCHES_IN_AREA,0.70,37
PROGRESSIVE_PASSES_RECIEVED,0.35,84
PRESSURES,14.28,96
TACKLES,1.86,74
INTERCEPTIONS,2.90,98
BLOCKS,1.28,14
CLEARANCES,4.65,40
AERIAL_DUELS_WON,2.79,59
