Riedewald,Jaïro,Crystal Palace
CB,FB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,57
NON_PEN_XG,0.01,4
TOTAL_SHOTS,0.38,9
ASSISTS,0.00,11
XA,0.05,34
NON_PEN_XG+XA,0.06,13
SHOT_CREATIONS,0.94,8
PASSES_ATTEMPTED,30.69,4
PASS_COMPLETION_PERCENTAGE,82.8,44
PROGRESSIVE_PASSES,1.63,2
PROGRESSIVE CARRIES,2.07,10
DRIBBLES_COMPLETED,0.63,35
TOUCHES_IN_AREA,0.82,34
PROGRESSIVE_PASSES_RECIEVED,1.63,48
PRESSURES,15.00,19
TACKLES,1.44,11
INTERCEPTIONS,1.38,31
BLOCKS,2.20,92
CLEARANCES,1.63,57
AERIAL_DUELS_WON,0.75,28
