Guéhi,Marc,Crystal Palace
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,91
NON_PEN_XG,0.09,92
TOTAL_SHOTS,0.59,68
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.09,81
SHOT_CREATIONS,0.35,21
PASSES_ATTEMPTED,62.82,76
PASS_COMPLETION_PERCENTAGE,87.3,55
PROGRESSIVE_PASSES,3.00,62
PROGRESSIVE CARRIES,3.29,68
DRIBBLES_COMPLETED,0.41,82
TOUCHES_IN_AREA,0.71,38
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,6.47,15
TACKLES,1.18,25
INTERCEPTIONS,1.24,11
BLOCKS,1.59,44
CLEARANCES,3.94,20
AERIAL_DUELS_WON,1.82,15
