Tomkins,James,Crystal Palace
CB,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,81
NON_PEN_XG,0.06,75
TOTAL_SHOTS,0.45,44
ASSISTS,0.00,28
XA,0.04,94
NON_PEN_XG+XA,0.11,91
SHOT_CREATIONS,0.54,51
PASSES_ATTEMPTED,38.62,11
PASS_COMPLETION_PERCENTAGE,83.5,26
PROGRESSIVE_PASSES,0.90,1
PROGRESSIVE CARRIES,0.99,7
DRIBBLES_COMPLETED,0.18,42
TOUCHES_IN_AREA,0.99,71
PROGRESSIVE_PASSES_RECIEVED,0.18,58
PRESSURES,6.74,19
TACKLES,1.62,61
INTERCEPTIONS,1.26,13
BLOCKS,1.71,55
CLEARANCES,5.93,78
AERIAL_DUELS_WON,2.25,39
