Ayew,Jordan,Crystal Palace
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,3
NON_PEN_XG,0.11,12
TOTAL_SHOTS,1.39,17
ASSISTS,0.18,47
XA,0.07,3
NON_PEN_XG+XA,0.18,3
SHOT_CREATIONS,1.78,3
PASSES_ATTEMPTED,31.63,23
PASS_COMPLETION_PERCENTAGE,77.4,57
PROGRESSIVE_PASSES,1.78,8
PROGRESSIVE CARRIES,5.13,30
DRIBBLES_COMPLETED,1.92,62
TOUCHES_IN_AREA,3.17,30
PROGRESSIVE_PASSES_RECIEVED,4.56,16
PRESSURES,27.03,99
TACKLES,2.42,95
INTERCEPTIONS,1.32,84
BLOCKS,1.71,88
CLEARANCES,0.39,32
AERIAL_DUELS_WON,1.35,84
