Mitchell,Tyrick,Crystal Palace
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,49
NON_PEN_XG,0.01,16
TOTAL_SHOTS,0.07,1
ASSISTS,0.07,46
XA,0.03,11
NON_PEN_XG+XA,0.05,6
SHOT_CREATIONS,0.87,5
PASSES_ATTEMPTED,49.99,38
PASS_COMPLETION_PERCENTAGE,72.1,14
PROGRESSIVE_PASSES,3.30,40
PROGRESSIVE CARRIES,2.10,3
DRIBBLES_COMPLETED,0.73,48
TOUCHES_IN_AREA,0.90,25
PROGRESSIVE_PASSES_RECIEVED,1.37,24
PRESSURES,20.31,99
TACKLES,3.13,90
INTERCEPTIONS,2.03,82
BLOCKS,2.23,78
CLEARANCES,3.07,81
AERIAL_DUELS_WON,0.97,35
