Benteke,Christian,Crystal Palace
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.40,57
NON_PEN_XG,0.39,61
TOTAL_SHOTS,3.14,82
ASSISTS,0.07,27
XA,0.06,13
NON_PEN_XG+XA,0.44,42
SHOT_CREATIONS,1.55,13
PASSES_ATTEMPTED,26.51,67
PASS_COMPLETION_PERCENTAGE,64.5,10
PROGRESSIVE_PASSES,1.23,34
PROGRESSIVE CARRIES,1.98,29
DRIBBLES_COMPLETED,0.72,26
TOUCHES_IN_AREA,6.02,77
PROGRESSIVE_PASSES_RECIEVED,7.50,49
PRESSURES,10.24,13
TACKLES,0.58,41
INTERCEPTIONS,0.18,8
BLOCKS,0.76,54
CLEARANCES,1.95,99
AERIAL_DUELS_WON,9.09,99
