Schlupp,Jeffrey,Crystal Palace
LB,DF,FW-MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,89
NON_PEN_XG,0.08,66
TOTAL_SHOTS,1.18,70
ASSISTS,0.16,85
XA,0.11,81
NON_PEN_XG+XA,0.18,73
SHOT_CREATIONS,1.66,43
PASSES_ATTEMPTED,26.21,2
PASS_COMPLETION_PERCENTAGE,72.3,3
PROGRESSIVE_PASSES,2.61,13
PROGRESSIVE CARRIES,3.55,45
DRIBBLES_COMPLETED,1.74,94
TOUCHES_IN_AREA,2.92,95
PROGRESSIVE_PASSES_RECIEVED,3.95,91
PRESSURES,17.92,46
TACKLES,2.61,72
INTERCEPTIONS,1.42,35
BLOCKS,2.29,94
CLEARANCES,1.26,38
AERIAL_DUELS_WON,1.82,75
