Andersen,Joachim,Crystal Palace
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,40
NON_PEN_XG,0.04,36
TOTAL_SHOTS,0.40,36
ASSISTS,0.06,85
XA,0.03,79
NON_PEN_XG+XA,0.07,54
SHOT_CREATIONS,0.98,89
PASSES_ATTEMPTED,66.62,83
PASS_COMPLETION_PERCENTAGE,84.8,35
PROGRESSIVE_PASSES,3.30,74
PROGRESSIVE CARRIES,2.35,43
DRIBBLES_COMPLETED,0.17,39
TOUCHES_IN_AREA,0.86,57
PROGRESSIVE_PASSES_RECIEVED,0.09,27
PRESSURES,5.94,11
TACKLES,1.35,40
INTERCEPTIONS,2.04,72
BLOCKS,1.03,2
CLEARANCES,7.29,95
AERIAL_DUELS_WON,3.56,85
