Bissouma,Yves,Brighton
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.03,23
TOTAL_SHOTS,0.96,53
ASSISTS,0.03,24
XA,0.04,26
NON_PEN_XG+XA,0.07,18
SHOT_CREATIONS,1.49,32
PASSES_ATTEMPTED,50.14,48
PASS_COMPLETION_PERCENTAGE,88.8,87
PROGRESSIVE_PASSES,3.15,31
PROGRESSIVE CARRIES,4.73,70
DRIBBLES_COMPLETED,1.49,91
TOUCHES_IN_AREA,0.61,21
PROGRESSIVE_PASSES_RECIEVED,0.67,9
PRESSURES,15.56,24
TACKLES,3.24,91
INTERCEPTIONS,2.07,82
BLOCKS,1.49,46
CLEARANCES,2.01,81
AERIAL_DUELS_WON,0.88,35
