Moder,Jakub,Brighton
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.14,91
TOTAL_SHOTS,1.66,90
ASSISTS,0.12,75
XA,0.08,58
NON_PEN_XG+XA,0.21,82
SHOT_CREATIONS,1.89,54
PASSES_ATTEMPTED,40.56,21
PASS_COMPLETION_PERCENTAGE,74.0,5
PROGRESSIVE_PASSES,3.38,40
PROGRESSIVE CARRIES,5.57,83
DRIBBLES_COMPLETED,0.77,50
TOUCHES_IN_AREA,3.85,98
PROGRESSIVE_PASSES_RECIEVED,4.50,93
PRESSURES,18.18,48
TACKLES,2.07,43
INTERCEPTIONS,0.71,2
BLOCKS,1.78,69
CLEARANCES,1.72,66
AERIAL_DUELS_WON,0.95,40
