March,Solly,Brighton
DF,FW,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.10,92
TOTAL_SHOTS,1.33,95
ASSISTS,0.06,44
XA,0.10,69
NON_PEN_XG+XA,0.20,83
SHOT_CREATIONS,3.18,96
PASSES_ATTEMPTED,43.92,13
PASS_COMPLETION_PERCENTAGE,71.5,12
PROGRESSIVE_PASSES,2.99,25
PROGRESSIVE CARRIES,5.47,70
DRIBBLES_COMPLETED,1.78,92
TOUCHES_IN_AREA,3.37,94
PROGRESSIVE_PASSES_RECIEVED,4.26,94
PRESSURES,13.79,66
TACKLES,2.42,71
INTERCEPTIONS,1.53,44
BLOCKS,1.78,43
CLEARANCES,1.33,9
AERIAL_DUELS_WON,1.27,57
