Lamptey,Tariq,Brighton
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.06,70
TOTAL_SHOTS,0.92,81
ASSISTS,0.18,87
XA,0.17,89
NON_PEN_XG+XA,0.22,86
SHOT_CREATIONS,4.03,99
PASSES_ATTEMPTED,49.12,32
PASS_COMPLETION_PERCENTAGE,77.6,51
PROGRESSIVE_PASSES,2.93,24
PROGRESSIVE CARRIES,9.17,99
DRIBBLES_COMPLETED,2.02,96
TOUCHES_IN_AREA,3.85,98
PROGRESSIVE_PASSES_RECIEVED,4.77,96
PRESSURES,13.20,58
TACKLES,2.20,60
INTERCEPTIONS,1.10,11
BLOCKS,1.65,33
CLEARANCES,0.73,1
AERIAL_DUELS_WON,0.55,12
