Veltman,Joël,Brighton
CB,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,49
NON_PEN_XG,0.05,65
TOTAL_SHOTS,0.57,50
ASSISTS,0.07,46
XA,0.06,33
NON_PEN_XG+XA,0.11,43
SHOT_CREATIONS,1.53,45
PASSES_ATTEMPTED,56.00,64
PASS_COMPLETION_PERCENTAGE,77.1,47
PROGRESSIVE_PASSES,4.53,77
PROGRESSIVE CARRIES,3.33,20
DRIBBLES_COMPLETED,0.70,45
TOUCHES_IN_AREA,1.50,59
PROGRESSIVE_PASSES_RECIEVED,1.26,20
PRESSURES,12.98,54
TACKLES,3.26,94
INTERCEPTIONS,1.66,56
BLOCKS,1.53,24
CLEARANCES,2.86,74
AERIAL_DUELS_WON,1.63,78
