Trossard,Leandro,Brighton
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.17,34
NON_PEN_XG,0.17,30
TOTAL_SHOTS,2.17,61
ASSISTS,0.14,31
XA,0.12,18
NON_PEN_XG+XA,0.28,20
SHOT_CREATIONS,3.33,56
PASSES_ATTEMPTED,37.53,46
PASS_COMPLETION_PERCENTAGE,78.2,62
PROGRESSIVE_PASSES,4.48,80
PROGRESSIVE CARRIES,5.94,48
DRIBBLES_COMPLETED,1.81,58
TOUCHES_IN_AREA,5.17,77
PROGRESSIVE_PASSES_RECIEVED,6.93,62
PRESSURES,16.00,50
TACKLES,1.15,33
INTERCEPTIONS,0.96,58
BLOCKS,1.43,72
CLEARANCES,0.19,12
AERIAL_DUELS_WON,0.41,24
