Groﬂ,Pascal,Brighton
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.09,73
TOTAL_SHOTS,1.03,58
ASSISTS,0.27,99
XA,0.20,96
NON_PEN_XG+XA,0.29,92
SHOT_CREATIONS,4.21,98
PASSES_ATTEMPTED,60.61,75
PASS_COMPLETION_PERCENTAGE,76.3,10
PROGRESSIVE_PASSES,4.28,60
PROGRESSIVE CARRIES,5.04,77
DRIBBLES_COMPLETED,0.27,3
TOUCHES_IN_AREA,2.65,91
PROGRESSIVE_PASSES_RECIEVED,4.15,91
PRESSURES,15.72,25
TACKLES,1.73,25
INTERCEPTIONS,1.00,14
BLOCKS,1.39,36
CLEARANCES,1.09,27
AERIAL_DUELS_WON,0.50,10
