Welbeck,Danny,Brighton
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.43,67
NON_PEN_XG,0.32,40
TOTAL_SHOTS,1.84,15
ASSISTS,0.07,27
XA,0.12,52
NON_PEN_XG+XA,0.44,40
SHOT_CREATIONS,2.69,70
PASSES_ATTEMPTED,16.65,10
PASS_COMPLETION_PERCENTAGE,84.3,99
PROGRESSIVE_PASSES,0.92,13
PROGRESSIVE CARRIES,2.62,47
DRIBBLES_COMPLETED,0.71,25
TOUCHES_IN_AREA,4.89,40
PROGRESSIVE_PASSES_RECIEVED,5.81,17
PRESSURES,15.80,63
TACKLES,0.57,38
INTERCEPTIONS,0.21,15
BLOCKS,1.49,97
CLEARANCES,0.50,35
AERIAL_DUELS_WON,1.28,31
