Alzate,Steven,Brighton
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,92
NON_PEN_XG,0.07,57
TOTAL_SHOTS,0.71,34
ASSISTS,0.00,11
XA,0.04,21
NON_PEN_XG+XA,0.12,45
SHOT_CREATIONS,1.95,57
PASSES_ATTEMPTED,44.03,31
PASS_COMPLETION_PERCENTAGE,91.2,96
PROGRESSIVE_PASSES,4.07,56
PROGRESSIVE CARRIES,5.13,78
DRIBBLES_COMPLETED,0.35,11
TOUCHES_IN_AREA,1.59,74
PROGRESSIVE_PASSES_RECIEVED,1.77,53
PRESSURES,13.97,13
TACKLES,1.59,15
INTERCEPTIONS,0.88,9
BLOCKS,1.41,38
CLEARANCES,1.77,70
AERIAL_DUELS_WON,0.88,36
