Lallana,Adam,Brighton
AM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,42
NON_PEN_XG,0.12,85
TOTAL_SHOTS,1.18,70
ASSISTS,0.04,36
XA,0.07,48
NON_PEN_XG+XA,0.19,75
SHOT_CREATIONS,2.14,64
PASSES_ATTEMPTED,57.01,68
PASS_COMPLETION_PERCENTAGE,86.9,74
PROGRESSIVE_PASSES,4.50,67
PROGRESSIVE CARRIES,4.02,52
DRIBBLES_COMPLETED,0.79,51
TOUCHES_IN_AREA,2.75,92
PROGRESSIVE_PASSES_RECIEVED,4.67,93
PRESSURES,18.79,53
TACKLES,2.53,66
INTERCEPTIONS,1.18,22
BLOCKS,1.53,49
CLEARANCES,0.70,10
AERIAL_DUELS_WON,0.61,18
