Dárdai,Márton,Hertha BSC
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,9
TOTAL_SHOTS,0.33,21
ASSISTS,0.13,99
XA,0.02,67
NON_PEN_XG+XA,0.03,13
SHOT_CREATIONS,0.91,87
PASSES_ATTEMPTED,50.94,46
PASS_COMPLETION_PERCENTAGE,78.7,7
PROGRESSIVE_PASSES,4.11,87
PROGRESSIVE CARRIES,2.48,47
DRIBBLES_COMPLETED,0.07,12
TOUCHES_IN_AREA,0.33,7
PROGRESSIVE_PASSES_RECIEVED,0.07,23
PRESSURES,9.54,61
TACKLES,1.76,68
INTERCEPTIONS,1.50,31
BLOCKS,2.02,82
CLEARANCES,4.57,38
AERIAL_DUELS_WON,1.63,11
