Serdar,Suat,Hertha BSC
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,75
NON_PEN_XG,0.12,85
TOTAL_SHOTS,1.49,85
ASSISTS,0.07,52
XA,0.06,46
NON_PEN_XG+XA,0.19,74
SHOT_CREATIONS,1.59,37
PASSES_ATTEMPTED,25.12,1
PASS_COMPLETION_PERCENTAGE,75.0,6
PROGRESSIVE_PASSES,2.71,17
PROGRESSIVE CARRIES,4.30,60
DRIBBLES_COMPLETED,2.02,97
TOUCHES_IN_AREA,2.08,85
PROGRESSIVE_PASSES_RECIEVED,2.78,77
PRESSURES,18.24,48
TACKLES,2.68,75
INTERCEPTIONS,1.42,35
BLOCKS,1.75,68
CLEARANCES,0.93,19
AERIAL_DUELS_WON,0.89,37
