Boyata,Dedryck,Hertha BSC
CB,FB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,71
NON_PEN_XG,0.03,31
TOTAL_SHOTS,0.59,69
ASSISTS,0.00,28
XA,0.03,83
NON_PEN_XG+XA,0.07,54
SHOT_CREATIONS,0.33,16
PASSES_ATTEMPTED,47.10,32
PASS_COMPLETION_PERCENTAGE,88.4,66
PROGRESSIVE_PASSES,1.25,5
PROGRESSIVE CARRIES,0.85,6
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,0.92,65
PROGRESSIVE_PASSES_RECIEVED,0.07,23
PRESSURES,4.93,1
TACKLES,0.99,14
INTERCEPTIONS,1.18,9
BLOCKS,1.71,55
CLEARANCES,6.83,91
AERIAL_DUELS_WON,2.82,61
