Pekarík,Peter,Hertha BSC
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,63
NON_PEN_XG,0.03,36
TOTAL_SHOTS,0.38,25
ASSISTS,0.05,33
XA,0.04,20
NON_PEN_XG+XA,0.07,18
SHOT_CREATIONS,1.03,11
PASSES_ATTEMPTED,49.62,36
PASS_COMPLETION_PERCENTAGE,82.2,78
PROGRESSIVE_PASSES,3.41,44
PROGRESSIVE CARRIES,3.62,28
DRIBBLES_COMPLETED,0.38,12
TOUCHES_IN_AREA,0.70,17
PROGRESSIVE_PASSES_RECIEVED,1.51,28
PRESSURES,10.76,22
TACKLES,1.78,35
INTERCEPTIONS,1.19,18
BLOCKS,2.27,80
CLEARANCES,2.38,50
AERIAL_DUELS_WON,1.14,46
