Tousart,Lucas,Hertha BSC
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,41
NON_PEN_XG,0.06,43
TOTAL_SHOTS,1.10,66
ASSISTS,0.00,11
XA,0.06,40
NON_PEN_XG+XA,0.11,36
SHOT_CREATIONS,1.31,23
PASSES_ATTEMPTED,37.93,16
PASS_COMPLETION_PERCENTAGE,77.8,15
PROGRESSIVE_PASSES,3.13,30
PROGRESSIVE CARRIES,3.13,32
DRIBBLES_COMPLETED,0.42,16
TOUCHES_IN_AREA,0.93,41
PROGRESSIVE_PASSES_RECIEVED,1.06,23
PRESSURES,20.79,75
TACKLES,2.41,60
INTERCEPTIONS,2.29,91
BLOCKS,2.07,87
CLEARANCES,3.43,99
AERIAL_DUELS_WON,2.92,95
