"b'Jovetic, Stevan'",Hertha BSC
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.90,98
NON_PEN_XG,0.46,79
TOTAL_SHOTS,4.00,96
ASSISTS,0.00,5
XA,0.12,53
NON_PEN_XG+XA,0.58,74
SHOT_CREATIONS,2.78,71
PASSES_ATTEMPTED,35.36,88
PASS_COMPLETION_PERCENTAGE,67.9,20
PROGRESSIVE_PASSES,3.92,96
PROGRESSIVE CARRIES,5.31,87
DRIBBLES_COMPLETED,1.39,72
TOUCHES_IN_AREA,5.80,71
PROGRESSIVE_PASSES_RECIEVED,8.74,76
PRESSURES,12.09,27
TACKLES,0.74,53
INTERCEPTIONS,0.74,91
BLOCKS,0.49,17
CLEARANCES,0.90,76
AERIAL_DUELS_WON,1.63,46
