Richter,Marco,Hertha BSC
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.22,54
NON_PEN_XG,0.24,65
TOTAL_SHOTS,2.73,82
ASSISTS,0.04,5
XA,0.10,11
NON_PEN_XG+XA,0.34,38
SHOT_CREATIONS,2.82,31
PASSES_ATTEMPTED,30.12,18
PASS_COMPLETION_PERCENTAGE,63.1,3
PROGRESSIVE_PASSES,2.52,26
PROGRESSIVE CARRIES,4.38,14
DRIBBLES_COMPLETED,2.08,68
TOUCHES_IN_AREA,3.17,30
PROGRESSIVE_PASSES_RECIEVED,5.42,32
PRESSURES,15.49,47
TACKLES,1.35,53
INTERCEPTIONS,1.17,78
BLOCKS,1.26,55
CLEARANCES,0.78,78
AERIAL_DUELS_WON,0.87,67
