Mittelstädt,Maximilian,Hertha BSC
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.04,60
TOTAL_SHOTS,0.72,68
ASSISTS,0.14,78
XA,0.07,41
NON_PEN_XG+XA,0.11,45
SHOT_CREATIONS,1.44,38
PASSES_ATTEMPTED,47.40,26
PASS_COMPLETION_PERCENTAGE,71.4,12
PROGRESSIVE_PASSES,3.22,36
PROGRESSIVE CARRIES,4.04,36
DRIBBLES_COMPLETED,1.59,89
TOUCHES_IN_AREA,1.15,42
PROGRESSIVE_PASSES_RECIEVED,2.31,61
PRESSURES,18.94,96
TACKLES,3.37,95
INTERCEPTIONS,2.93,98
BLOCKS,2.93,99
CLEARANCES,2.98,79
AERIAL_DUELS_WON,1.78,83
