Maolida,Myziane,Hertha BSC
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,55
NON_PEN_XG,0.22,57
TOTAL_SHOTS,1.97,51
ASSISTS,0.08,13
XA,0.11,16
NON_PEN_XG+XA,0.33,35
SHOT_CREATIONS,2.43,16
PASSES_ATTEMPTED,27.90,9
PASS_COMPLETION_PERCENTAGE,72.0,26
PROGRESSIVE_PASSES,2.43,24
PROGRESSIVE CARRIES,5.46,38
DRIBBLES_COMPLETED,1.82,58
TOUCHES_IN_AREA,3.94,52
PROGRESSIVE_PASSES_RECIEVED,7.20,68
PRESSURES,15.62,48
TACKLES,1.06,28
INTERCEPTIONS,0.38,3
BLOCKS,0.76,10
CLEARANCES,0.61,59
AERIAL_DUELS_WON,0.23,10
