Oyarzabal,Mikel,Real Sociedad
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,57
NON_PEN_XG,0.22,54
TOTAL_SHOTS,1.84,42
ASSISTS,0.20,57
XA,0.18,58
NON_PEN_XG+XA,0.40,57
SHOT_CREATIONS,3.28,54
PASSES_ATTEMPTED,35.79,38
PASS_COMPLETION_PERCENTAGE,69.9,19
PROGRESSIVE_PASSES,2.68,30
PROGRESSIVE CARRIES,4.46,15
DRIBBLES_COMPLETED,1.06,22
TOUCHES_IN_AREA,3.83,49
PROGRESSIVE_PASSES_RECIEVED,6.07,46
PRESSURES,14.24,32
TACKLES,1.01,24
INTERCEPTIONS,0.58,19
BLOCKS,1.09,41
CLEARANCES,0.63,62
AERIAL_DUELS_WON,1.09,78
