Zubeldia,Igor,Real Sociedad
CB,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,46
NON_PEN_XG,0.06,69
TOTAL_SHOTS,0.54,59
ASSISTS,0.11,99
XA,0.02,68
NON_PEN_XG+XA,0.08,71
SHOT_CREATIONS,0.43,33
PASSES_ATTEMPTED,54.21,53
PASS_COMPLETION_PERCENTAGE,89.5,76
PROGRESSIVE_PASSES,2.15,31
PROGRESSIVE CARRIES,3.30,69
DRIBBLES_COMPLETED,0.25,60
TOUCHES_IN_AREA,0.64,31
PROGRESSIVE_PASSES_RECIEVED,0.14,50
PRESSURES,8.56,47
TACKLES,1.29,35
INTERCEPTIONS,1.40,24
BLOCKS,1.47,29
CLEARANCES,3.94,19
AERIAL_DUELS_WON,2.01,22
