Sørloth,Alexander,Real Sociedad
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.43,68
NON_PEN_XG,0.43,71
TOTAL_SHOTS,2.83,74
ASSISTS,0.16,63
XA,0.17,75
NON_PEN_XG+XA,0.60,77
SHOT_CREATIONS,3.31,86
PASSES_ATTEMPTED,28.97,78
PASS_COMPLETION_PERCENTAGE,76.4,74
PROGRESSIVE_PASSES,2.19,76
PROGRESSIVE CARRIES,4.92,85
DRIBBLES_COMPLETED,1.44,75
TOUCHES_IN_AREA,8.02,97
PROGRESSIVE_PASSES_RECIEVED,8.44,70
PRESSURES,16.67,74
TACKLES,1.23,89
INTERCEPTIONS,0.27,28
BLOCKS,0.91,71
CLEARANCES,0.48,34
AERIAL_DUELS_WON,4.54,92
