Le Normand,Robin,Real Sociedad
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.04,46
TOTAL_SHOTS,0.54,60
ASSISTS,0.02,58
XA,0.00,18
NON_PEN_XG+XA,0.05,31
SHOT_CREATIONS,0.38,25
PASSES_ATTEMPTED,54.95,56
PASS_COMPLETION_PERCENTAGE,89.6,77
PROGRESSIVE_PASSES,2.72,53
PROGRESSIVE CARRIES,2.91,57
DRIBBLES_COMPLETED,0.05,7
TOUCHES_IN_AREA,0.99,72
PROGRESSIVE_PASSES_RECIEVED,0.14,49
PRESSURES,8.06,39
TACKLES,1.02,15
INTERCEPTIONS,1.35,22
BLOCKS,1.28,13
CLEARANCES,5.63,71
AERIAL_DUELS_WON,4.33,97
