Gorosabel,Andoni,Real Sociedad
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,25
TOTAL_SHOTS,0.22,11
ASSISTS,0.03,20
XA,0.07,39
NON_PEN_XG+XA,0.08,27
SHOT_CREATIONS,1.69,52
PASSES_ATTEMPTED,58.27,74
PASS_COMPLETION_PERCENTAGE,83.4,84
PROGRESSIVE_PASSES,4.20,71
PROGRESSIVE CARRIES,4.57,53
DRIBBLES_COMPLETED,0.44,17
TOUCHES_IN_AREA,1.10,39
PROGRESSIVE_PASSES_RECIEVED,1.88,40
PRESSURES,12.44,47
TACKLES,2.04,51
INTERCEPTIONS,1.22,20
BLOCKS,1.25,7
CLEARANCES,1.69,20
AERIAL_DUELS_WON,1.00,37
