Isak,Alexander,Real Sociedad
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.58,89
NON_PEN_XG,0.46,79
TOTAL_SHOTS,2.81,72
ASSISTS,0.06,24
XA,0.11,43
NON_PEN_XG+XA,0.57,68
SHOT_CREATIONS,2.09,41
PASSES_ATTEMPTED,17.41,13
PASS_COMPLETION_PERCENTAGE,74.2,60
PROGRESSIVE_PASSES,1.28,38
PROGRESSIVE CARRIES,3.22,61
DRIBBLES_COMPLETED,1.65,86
TOUCHES_IN_AREA,5.53,67
PROGRESSIVE_PASSES_RECIEVED,6.81,36
PRESSURES,10.75,18
TACKLES,0.41,19
INTERCEPTIONS,0.26,25
BLOCKS,0.52,20
CLEARANCES,0.35,25
AERIAL_DUELS_WON,1.33,32
