Ryan,Mathew,Real Sociedad
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.48,99
GOALS_CONCEDED,1.00,86
SAVE_PERCENTAGE,81.0,99
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.34,92
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,33.3,76
TOUCHES,32.50,30
LAUNCH_PERCENTAGE,31.1,18
GOAL_KICKS,4.50,2
AVG_GOAL_KICK_DISTANCE,42.7,39
CROSSES_STOPPED_PERCENTAGE,11.8,98
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.33,7
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,13.1,15
