Portu,,Real Sociedad
AM,DM,RW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,27
NON_PEN_XG,0.22,57
TOTAL_SHOTS,1.57,26
ASSISTS,0.04,2
XA,0.10,8
NON_PEN_XG+XA,0.31,30
SHOT_CREATIONS,1.93,4
PASSES_ATTEMPTED,26.45,7
PASS_COMPLETION_PERCENTAGE,73.0,31
PROGRESSIVE_PASSES,1.97,13
PROGRESSIVE CARRIES,4.79,23
DRIBBLES_COMPLETED,0.93,15
TOUCHES_IN_AREA,5.93,84
PROGRESSIVE_PASSES_RECIEVED,6.79,58
PRESSURES,17.44,63
TACKLES,0.93,19
INTERCEPTIONS,0.64,27
BLOCKS,0.97,28
CLEARANCES,0.36,28
AERIAL_DUELS_WON,0.71,56
