Guevara,Ander,Real Sociedad
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,38
NON_PEN_XG,0.03,16
TOTAL_SHOTS,0.44,12
ASSISTS,0.04,32
XA,0.04,22
NON_PEN_XG+XA,0.06,14
SHOT_CREATIONS,1.35,26
PASSES_ATTEMPTED,59.22,74
PASS_COMPLETION_PERCENTAGE,84.7,56
PROGRESSIVE_PASSES,4.02,55
PROGRESSIVE CARRIES,4.62,67
DRIBBLES_COMPLETED,0.64,37
TOUCHES_IN_AREA,0.92,40
PROGRESSIVE_PASSES_RECIEVED,1.79,54
PRESSURES,18.68,53
TACKLES,1.87,32
INTERCEPTIONS,1.15,21
BLOCKS,1.43,40
CLEARANCES,1.59,54
AERIAL_DUELS_WON,1.67,71
