Merino,Mikel,Real Sociedad
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,81
NON_PEN_XG,0.12,82
TOTAL_SHOTS,1.30,77
ASSISTS,0.09,64
XA,0.09,67
NON_PEN_XG+XA,0.21,81
SHOT_CREATIONS,2.38,74
PASSES_ATTEMPTED,53.46,59
PASS_COMPLETION_PERCENTAGE,77.9,16
PROGRESSIVE_PASSES,5.85,88
PROGRESSIVE CARRIES,3.53,44
DRIBBLES_COMPLETED,1.12,75
TOUCHES_IN_AREA,2.71,91
PROGRESSIVE_PASSES_RECIEVED,3.41,88
PRESSURES,18.51,50
TACKLES,2.74,77
INTERCEPTIONS,1.42,35
BLOCKS,1.57,53
CLEARANCES,1.84,73
AERIAL_DUELS_WON,3.05,96
