Barrenetxea,Ander,Real Sociedad
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,38
NON_PEN_XG,0.11,14
TOTAL_SHOTS,1.63,29
ASSISTS,0.12,27
XA,0.18,55
NON_PEN_XG+XA,0.29,23
SHOT_CREATIONS,2.66,23
PASSES_ATTEMPTED,32.90,26
PASS_COMPLETION_PERCENTAGE,71.6,24
PROGRESSIVE_PASSES,2.41,23
PROGRESSIVE CARRIES,6.64,63
DRIBBLES_COMPLETED,3.56,97
TOUCHES_IN_AREA,3.56,40
PROGRESSIVE_PASSES_RECIEVED,5.37,31
PRESSURES,22.45,95
TACKLES,2.72,97
INTERCEPTIONS,1.21,79
BLOCKS,1.21,53
CLEARANCES,0.66,67
AERIAL_DUELS_WON,0.30,17
