Remiro,Álex,Real Sociedad
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.17,19
GOALS_CONCEDED,1.15,72
SAVE_PERCENTAGE,64.3,25
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.30,54
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,39.1,90
TOUCHES,34.24,41
LAUNCH_PERCENTAGE,39.8,41
GOAL_KICKS,5.85,12
AVG_GOAL_KICK_DISTANCE,50.2,68
CROSSES_STOPPED_PERCENTAGE,7.4,51
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.96,82
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,16.2,89
