Oliva,Christian,Cagliari
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.36,8
ASSISTS,0.54,99
XA,0.05,39
NON_PEN_XG+XA,0.05,11
SHOT_CREATIONS,1.61,39
PASSES_ATTEMPTED,43.03,28
PASS_COMPLETION_PERCENTAGE,81.7,36
PROGRESSIVE_PASSES,4.12,57
PROGRESSIVE CARRIES,3.05,30
DRIBBLES_COMPLETED,0.54,27
TOUCHES_IN_AREA,0.18,1
PROGRESSIVE_PASSES_RECIEVED,0.36,1
PRESSURES,17.57,43
TACKLES,1.79,28
INTERCEPTIONS,1.43,36
BLOCKS,1.61,57
CLEARANCES,1.26,37
AERIAL_DUELS_WON,0.54,13
