Farias,Diego,Cagliari
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.17,34
NON_PEN_XG,0.17,31
TOTAL_SHOTS,1.66,30
ASSISTS,0.17,43
XA,0.15,39
NON_PEN_XG+XA,0.31,30
SHOT_CREATIONS,2.82,30
PASSES_ATTEMPTED,38.87,50
PASS_COMPLETION_PERCENTAGE,79.5,71
PROGRESSIVE_PASSES,3.65,61
PROGRESSIVE CARRIES,5.88,48
DRIBBLES_COMPLETED,1.82,59
TOUCHES_IN_AREA,3.73,44
PROGRESSIVE_PASSES_RECIEVED,5.97,43
PRESSURES,12.35,16
TACKLES,0.75,7
INTERCEPTIONS,0.99,60
BLOCKS,0.99,32
CLEARANCES,0.08,2
AERIAL_DUELS_WON,0.66,51
