Pedro,João,Cagliari
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.32,39
NON_PEN_XG,0.25,21
TOTAL_SHOTS,2.01,26
ASSISTS,0.10,36
XA,0.13,55
NON_PEN_XG+XA,0.38,25
SHOT_CREATIONS,2.30,55
PASSES_ATTEMPTED,22.00,43
PASS_COMPLETION_PERCENTAGE,71.5,40
PROGRESSIVE_PASSES,1.62,59
PROGRESSIVE CARRIES,2.33,38
DRIBBLES_COMPLETED,0.63,21
TOUCHES_IN_AREA,4.31,21
PROGRESSIVE_PASSES_RECIEVED,5.86,18
PRESSURES,11.92,24
TACKLES,0.53,34
INTERCEPTIONS,0.24,20
BLOCKS,0.75,52
CLEARANCES,0.78,64
AERIAL_DUELS_WON,1.94,57
