Cáceres,Martín,Cagliari
CB,FB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,87
NON_PEN_XG,0.06,72
TOTAL_SHOTS,0.83,74
ASSISTS,0.12,70
XA,0.05,28
NON_PEN_XG+XA,0.12,49
SHOT_CREATIONS,1.12,17
PASSES_ATTEMPTED,39.95,7
PASS_COMPLETION_PERCENTAGE,71.6,12
PROGRESSIVE_PASSES,3.02,27
PROGRESSIVE CARRIES,2.32,4
DRIBBLES_COMPLETED,0.08,1
TOUCHES_IN_AREA,1.20,44
PROGRESSIVE_PASSES_RECIEVED,0.91,8
PRESSURES,10.52,19
TACKLES,1.61,22
INTERCEPTIONS,1.49,40
BLOCKS,1.49,19
CLEARANCES,2.86,74
AERIAL_DUELS_WON,0.79,26
