Strootman,Kevin,Cagliari
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.02,12
TOTAL_SHOTS,0.31,6
ASSISTS,0.18,89
XA,0.12,83
NON_PEN_XG+XA,0.14,53
SHOT_CREATIONS,1.91,55
PASSES_ATTEMPTED,57.61,70
PASS_COMPLETION_PERCENTAGE,81.5,35
PROGRESSIVE_PASSES,4.36,62
PROGRESSIVE CARRIES,3.56,46
DRIBBLES_COMPLETED,0.49,24
TOUCHES_IN_AREA,0.89,38
PROGRESSIVE_PASSES_RECIEVED,1.33,35
PRESSURES,20.82,75
TACKLES,2.49,64
INTERCEPTIONS,1.87,73
BLOCKS,2.27,94
CLEARANCES,1.65,58
AERIAL_DUELS_WON,0.89,37
