Zappa,Gabriele,Cagliari
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.04,51
TOTAL_SHOTS,0.54,46
ASSISTS,0.04,26
XA,0.08,54
NON_PEN_XG+XA,0.12,51
SHOT_CREATIONS,1.70,52
PASSES_ATTEMPTED,51.19,43
PASS_COMPLETION_PERCENTAGE,79.0,61
PROGRESSIVE_PASSES,4.26,73
PROGRESSIVE CARRIES,4.39,46
DRIBBLES_COMPLETED,0.70,46
TOUCHES_IN_AREA,1.24,46
PROGRESSIVE_PASSES_RECIEVED,1.32,22
PRESSURES,17.30,90
TACKLES,1.57,20
INTERCEPTIONS,1.41,34
BLOCKS,1.94,55
CLEARANCES,1.82,25
AERIAL_DUELS_WON,0.83,28
