Nández,Nahitan,Cagliari
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,42
NON_PEN_XG,0.07,79
TOTAL_SHOTS,1.07,87
ASSISTS,0.11,66
XA,0.12,77
NON_PEN_XG+XA,0.18,80
SHOT_CREATIONS,2.31,83
PASSES_ATTEMPTED,40.05,8
PASS_COMPLETION_PERCENTAGE,73.8,24
PROGRESSIVE_PASSES,2.53,9
PROGRESSIVE CARRIES,5.42,69
DRIBBLES_COMPLETED,1.27,78
TOUCHES_IN_AREA,2.34,84
PROGRESSIVE_PASSES_RECIEVED,3.49,88
PRESSURES,19.20,97
TACKLES,1.90,44
INTERCEPTIONS,1.02,6
BLOCKS,1.07,1
CLEARANCES,1.57,18
AERIAL_DUELS_WON,1.98,88
