Deiola,Alessandro,Cagliari
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,51
NON_PEN_XG,0.03,22
TOTAL_SHOTS,0.96,52
ASSISTS,0.00,11
XA,0.07,52
NON_PEN_XG+XA,0.10,32
SHOT_CREATIONS,1.59,37
PASSES_ATTEMPTED,33.33,7
PASS_COMPLETION_PERCENTAGE,82.5,42
PROGRESSIVE_PASSES,2.28,8
PROGRESSIVE CARRIES,1.86,7
DRIBBLES_COMPLETED,0.21,1
TOUCHES_IN_AREA,0.69,23
PROGRESSIVE_PASSES_RECIEVED,2.02,62
PRESSURES,17.94,46
TACKLES,1.70,23
INTERCEPTIONS,1.86,72
BLOCKS,1.75,67
CLEARANCES,1.75,69
AERIAL_DUELS_WON,1.49,63
