"b'Marin, Razvan'",Cagliari
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,50
NON_PEN_XG,0.05,36
TOTAL_SHOTS,0.99,55
ASSISTS,0.20,91
XA,0.17,94
NON_PEN_XG+XA,0.22,84
SHOT_CREATIONS,3.32,94
PASSES_ATTEMPTED,47.89,42
PASS_COMPLETION_PERCENTAGE,80.8,31
PROGRESSIVE_PASSES,3.62,45
PROGRESSIVE CARRIES,4.33,61
DRIBBLES_COMPLETED,0.81,54
TOUCHES_IN_AREA,1.29,60
PROGRESSIVE_PASSES_RECIEVED,2.61,74
PRESSURES,17.95,47
TACKLES,1.67,22
INTERCEPTIONS,0.91,10
BLOCKS,0.89,3
CLEARANCES,0.73,11
AERIAL_DUELS_WON,0.58,16
