Lykogiannis,Charalambos,Cagliari
LB,LM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,84
NON_PEN_XG,0.08,83
TOTAL_SHOTS,1.19,93
ASSISTS,0.03,22
XA,0.05,24
NON_PEN_XG+XA,0.13,54
SHOT_CREATIONS,1.16,19
PASSES_ATTEMPTED,38.50,5
PASS_COMPLETION_PERCENTAGE,65.6,2
PROGRESSIVE_PASSES,2.39,7
PROGRESSIVE CARRIES,2.59,7
DRIBBLES_COMPLETED,0.51,23
TOUCHES_IN_AREA,1.02,35
PROGRESSIVE_PASSES_RECIEVED,1.36,23
PRESSURES,10.09,16
TACKLES,1.09,5
INTERCEPTIONS,2.01,81
BLOCKS,2.05,66
CLEARANCES,3.21,84
AERIAL_DUELS_WON,2.05,90
